"tel","fax","fiokKod","megjegyzes","openingHours__001","openingHours__002","openingHours__003","openingHours__004","openingHours__005","openingHours__006","openingHours__007","specialServices__001","specialServices__002","specialServices__003","specialServices__004","address","type","baliInfo__terheltseg","baliInfo__szoveg","baliInfo__fiokKod","servicesCorp__001","servicesCorp__002","servicesCorp__003","servicesCorp__004","servicesCorp__005","servicesCorp__006","servicesCorp__007","servicesCorp__008","servicesCorp__009","servicesCorp__010","servicesCorp__011","servicesCorp__012","servicesCorp__013","servicesPub__001","servicesPub__002","servicesPub__003","servicesPub__004","servicesPub__005","servicesPub__006","servicesPub__007","servicesPub__008","servicesPub__009","servicesPub__010","servicesPub__011","servicesPub__012","servicesPub__013","servicesPub__014","servicesPub__015","servicesPub__016","zipCode","town","lat","lng"
"(1) 3666-388","(1) 323-3685","0908","","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Könyves Kálmán krt. 12-14. (Lurdy ház) ","FIOK","null","null","0908","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1097","Budapest","47.470051","19.085837"
"(1) 3666-388","(1) 488-7785","1200","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Böszörményi út 9-11.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","1200","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1126","Budapest","47.496363","19.020218"
"(1) 3666-388","(1) 267-5152","0800","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","József krt. 33.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","0800","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1085","Budapest","47.492309","19.07095"
"(1) 3666-388","(1) 472-3216","9401","Forgalmazott valuták: EUR HRK USD ","8:45 - 17:00","8:45 - 17:00","8:45 - 17:00","8:45 - 17:00","8:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Szabadság tér 7-8. (Bank Center) ","FIOK","null","null","9401","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1054","Budapest","47.502976","19.052057"
"(1) 3666-388","(1) 427-2010","2102","","8:00 - 18:00","8:00 - 17:00","8:00 - 17:00","8:00 - 17:00","8:00 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Kossuth Lajos utca 99  ","FIOK","null","null","2102","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1211","Budapest","47.425288","19.069956"
"(1) 3666-388","(1) 459-1069","0902","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Ferenc krt. 13.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","0902","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1094","Budapest","47.482017","19.068541"
"(1) 3666-388","(1) 348-1490","1900","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Üllői út 285.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","1900","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1195","Budapest","47.454514","19.151847"
"(1) 3666-388","(1) 424-0745","2201","Forgalmazott valuták: EUR USD ","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Nagytétényi út 37-45. (Campona) ","FIOK","null","null","2201","Kisvállalkozások forint számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1222","Budapest","47.406399","19.016028"
"(1) 3666-388","(1) 273-2549","1404","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Bosnyák tér 17.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","1404","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","1149","Budapest","47.519125","19.11305"
"(1) 3666-388","(1) 421-4658","2001","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Grassalkovich út 160.  ","FIOK","null","null","2001","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1238","Budapest","47.400042","19.114346"
"(1) 3666-388","(1) 298-3389","1317","Forgalmazott valuták: BGN CHF DKK EUR GBP HRK PLN RON RSD RUB USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Váci út 135-139 BSR Center ","FIOK","null","null","1317","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1138","Budapest","47.547331","19.072955"
"(1) 3666-388","(1) 323-3975","0808","Forgalmazott valuták: EUR USD ","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Kerepesi út 9.  ","FIOK","null","null","0808","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1087","Budapest","47.498852","19.087648"
"(1) 3666-388","(1) 271-2607","1501","","8:00 - 16:00","8:00 - 16:00","8:00 - 16:00","8:00 - 16:00","8:00 - 14:30","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Fő utca 64.  (A pénztárak szerdánként zárva tartanak)","FIOK","null","null","1501","Kisvállalkozások forint számlavezetése, bankkártyák","Értékpapír szolgáltatások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","1151","Budapest","47.564323","19.12013"
"(1) 3666-388","(1) 2809481","0901","","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Lobogó utca 18.  ","FIOK","null","null","0901","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1098","Budapest","47.461712","19.116178"
"(1) 3666-388","(1) 297-1888","1804","","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Üllői út 440. (Delta Center) ","FIOK","null","null","1804","Kisvállalkozások forint számlavezetése, bankkártyák","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1183","Budapest","47.440278","19.185352"
"(1) 3666-388","(1) 399-4034","0401","","10:00 - 17:00","10:00 - 16:00","10:00 - 16:00","10:00 - 17:00","10:00 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Kordován tér 4.  ","FIOK","null","null","0401","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1048","Budapest","47.586694","19.113398"
"(1) 3666-388","(1) 466-7303","1101","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Móricz Zsigmond körtér 18.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","1101","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1117","Budapest","47.477893","19.048173"
"(1) 3666-388","(1) 254-0009","1701","","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Pesti út 5-7. (Tesco áruház) ","FIOK","null","null","1701","Kisvállalkozások forint számlavezetése, bankkártyák","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1173","Budapest","47.484743","19.227877"
"(1) 3666-388","(1) 688-6779","1320","Forgalmazott valuták: EUR USD ","8:45 - 17:00","8:45 - 17:00","8:45 - 17:00","8:45 - 17:00","8:45 - 16:00","","","Akadálymentes bankfiók","Gyermekbarát bankfiók","Free WiFi","","Váci út 17.  ","FIOK","null","null","1320","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1134","Budapest","47.519708","19.06145"
"(1) 3666-388","(1) 298-3389","0710","","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Thököly út 4  ","FIOK","null","null","0710","Kisvállalkozások forint számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","1076","Budapest","47.501272","19.082909"
"(1) 3666-388","(1) 289-5630","1009","","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 14:00","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Örs Vezér tere 25/A 1.em ÁRKÁD OTP Innovációs Fiók ","FIOK","null","null","1009","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1106","Budapest","47.5028","19.13681"
